Strain,Type,Rating,Effects,Flavor,Description
Bubblicious,hybrid,4.3,"Happy,Relaxed,Talkative,Giggly,Uplifted","Sweet,Blueberry,Berry","Bubblicious (not to be confused with Wonka’s Bubblicious) is Nirvana Seeds’ rendition of the classic Indiana Bubble Gum. Refined in the Netherlands since the 1990s, Bubblicious captures the signature bubble gum flavor that first lent this hybrid widespread notoriety. Sometimes, Bubblicious will even take on a pink hue that further justifies the naming of this sweet-smelling hybrid. Potent and relaxing, Bubblicious offers full-body effects that soothe tension and stress even in seasoned THC veterans."
Buckeye-Purple,indica,4.3,"Sleepy,Relaxed,Euphoric,Focused,Happy","Tropical,Diesel,Grape","Buckeye Purple by Melvanetics is an indica-dominant cross of heavy genetics. Created by breeding Gorilla Grape and Granddaddy Purple, this beautiful cross produces pink and purple colas that reek of sweet floral terpenes. Buckeye Purple is known for its deep relaxation and leaden couchlock, as well as its reasonable flowering time of approximately 7 to 8 weeks."
Buddha-Haze,sativa,4.6,"Giggly,Happy,Uplifted,Euphoric,Talkative","Sweet,Earthy,Nutty","Buddha Haze is an 85% sativa strain bred by Big Buddha Seeds. Parented by Amnesia Haze and Manga Rosa, Buddha Haze offers a complex aroma that blends together sweet mango and spice. Its upbeat, energetic buzz is perfect for those days that require unencumbered focus and attention. "
Buddha-Tahoe,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Pungent,Sweet","Buddha Tahoe is what you get when Big Buddha Seeds reverses Cali Connection’s Tahoe OG Kush to create their own rendition of this indica staple. Like its OG ancestors, Buddha Tahoe maintains a zesty lemon and earthy hash aroma typical of kush varieties. Potent and long-lasting, Buddha Tahoe launches you into to the highest level of cerebral euphoria which won this strain 3rd place in the 2011 High Times Cannabis Cup."
Buddhas-Hand,hybrid,4.7,"Focused,Euphoric,Energetic,Aroused,Uplifted","Citrus,Lemon,Pungent","Buddha’s Hand is a sativa-dominant strain that was bred by combining genetics from Lemon Thai and Snow Lotus. Pungent aromas of citrus and wildflowers burst from the dense, trichome-caked buds. Easing stress without the cost of energy, Buddha’s Hand is your perfect daytime companion when you’re in need of a mood boost or focus."
Buddhas-Sister,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Euphoric","Earthy,Flowery,Sweet","Buddha's Sister has a flavor like a tart cherry candy and a scent to match. A cross of Reclining Buddha, Afghani, and Hawaiian varieties, Buddha's Sister provides creative and cerebral effects. An 80/20 indica blend, it does well grown in hydro or soil."
Buffalo-Bill,sativa,4.2,"Relaxed,Uplifted,Tingly,Euphoric,Happy","Earthy,Woody,Pine","Buffalo Bill is a sativa-dominant cross between Willie’s Wonder and Killer Ken bred by New House Seeds and grown by Doc and Yeti’s in Washington state. A blanket of crystal resin envelops the dense buds, almost hiding its interweaving green and lavender hues. Though 70% sativa by genetics, Buffalo Bill can hit with a force that leaves you anchored to your seat while the mind freely roams blissful euphoria. A sweet, earthy pine aroma floats from its kief-caked jar, sending your senses straight to a wintery tundra."
Bugatti-Og,hybrid,4.6,"Relaxed,Happy,Uplifted,Hungry,Sleepy","Berry,Earthy,Pine","Bugatti OG, another member of the esteemed OG Kush family, is an indica-dominant hybrid with effects as luxurious as its automotive namesake. A sweet pine aroma familiar to OG Kush enthusiasts emanates from Bugatti OG’s resin-caked buds. Deep relaxation anchors the body, but intense cerebral stimulation lifts the mind to faraway escapes from aches, pains, and stress."
Burkle,indica,4.9,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Berry,Flowery,Pungent","Burkle, 3rd place winner of Best Indica Flower at the 2016 Colorado Cannabis Cup, is an indica-dominant hybrid that crosses Pre-98 Bubba Kush with Granddaddy Purple (though some claim it to be Purple Urkle based on the name). The result is a powerfully relaxing indica that consumes the body with calming effects that ease away pain and induce sleep. Burkle is great for a lazy evening at home, but not so great for being productive. Its sweet flavor profile is a blend of spiced licorice aromas and an earthy peppermint aftertaste. This strain is known to produce a case of the munchies which makes it a good choice for those suffering from a lack of an appetite."
Burmese-Kush,hybrid,4.2,"Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy,Pine,Pungent","This hybrid strain is almost half sativa and tends to give users a calm, mellow outlook. Bred by T.H. Seeds as a cross that includes the California classic, OG Kush, this plant will be dark green and have a piney aroma with a sweet aftertaste. Growth can be slow to start so Burmese Kush is best for indoor conditions where growth speeds up and plants flower in 7-8 weeks. The effects also tend to come on slowly but can be strong and long-lasting once they do."
Burnt-Cookies,hybrid,0,None,None,"Burnt Cookies is another flavorful Cookies cross from Rebel Spirit Cannabis of Oregon. This strain is a cross of Fire OG and Girl Scout Cookies that expresses tight, vibrant flowers frosted in delicious trichomes. Burnt Cookies has a pleasant and unique aroma of citrus, mint, and ginger which translates nicely to the bud’s flavor. It prefers to grow indoors and yields tight, dense nugs that speak to the strain’s GSC lineage. This strain’s buzz is functionally cerebral and easy on the body, making it an enjoyable and flavorful choice for all day consumption.  "
Butter-Og,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Butter,Sweet,Pungent","While there is not much information available on the origins of Butter OG, it is generally thought to be an indica-dominant strain as it gives consumers a very relaxing, giggly high that gradually fades to sleepiness. Its dense, sparkly buds give off a fruity scent with slight undertones of ammonia. The smoke is very light and smooth, with sweet flavors on the inhale and, like its name suggests, a buttery aftertaste. Butter OG is potentially beneficial for treating pain, anxiety, depression, and insomnia."
Butterscotch,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Pine,Citrus,Nutty","Butterscotch is a treat of a strain that gets its name from its distinctive candy aroma. This strong indica helps patients to gain some mental peace and unwind from a stressful day. Effects tend to be sedative and sleep-inducing, so Butterscotch is a good choice for treating insomnia."
C13-Haze,sativa,4.4,"Euphoric,Creative,Uplifted,Energetic,Giggly","Earthy,Pungent,Lemon",C13 is one of the many strains in the DNA Genetics catalog. It's a cross between Cannalope Haze and G13. This hybrid grows and smells more like the G13 side of its lineage and tastes fantastic. C13 is nice for relieving pain and anxiety-related symptoms.
C3,hybrid,5,None,None,"C3 is an indica-dominant cross between Chemdawg and a Lemon Thai-Pakistani hybrid, creating a stinky flower rich with earthy aromas. This strain’s initial sensations start in the mind and settle down into the body where the consumer begins to feel deep, expansive relaxation. Indulge in C3 with caution, as its genetic parentage has been known to push potency that can be physically and socially debilitating, though usually in a pleasurable way. "
C3Po,hybrid,4.3,"Relaxed,Hungry,Sleepy,Focused,Uplifted","Sweet,Pine,Lemon","Named after the eloquent and fussy droid from a galaxy far, far away, C3PO is a sativa-dominant hybrid strain cultivated in Humboldt County, California by Petrolia Farms. With the smell of fresh pine, C3PO delivers relaxing effects with mental clarity due to its high CBD content which usually falls between 13-15%. Minimal amounts of THC (less than 1%) mean this strain won’t cause the intense cerebral euphoria typically associated with high-THC varieties. Because of its CBD:THC ratio, medical patients might turn to this strain for treating pain, anxiety, and inflammation, among other symptoms and conditions."
C4,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Flowery,Lime","An indica-leaning cross between Cotton Candy and Shiskaberry, C4 is known for its high yields and resin production that make it an excellent option for producing top-notch concentrates. The fruity aroma is highlighted by a thick, earthy tones that mixes with flavors of pine and citrus. Its deep, relaxing effects are recommended to those battling depression and anxiety, and are sure to blow you out of any funk you may find yourself in."
Cbd-Blue-Shark,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Blueberry,Flowery,Earthy","CBD Blue Shark by Barney’s Farm is a flavorful 1:1 CBD/THC cross of CBD Shark and Blue Cheese. These strains come together to offer consumers THC and CBD contents of 6.5%, which may help to reduce inflammation while improving mood and alleviating stress. CBD Blue Shark has a complex floral bouquet that contains hints of jasmine, berry, and cheese, making it a unique and challenging flavor palate. If growing this strain, note that it typically takes about 9 weeks to finish flowering. "
Cbd-Critical-Cure,indica,4.6,"Relaxed,Sleepy,Happy,Focused,Euphoric","Sweet,Earthy,Berry","From Barney’s Farm comes CBD Critical Cure (or simply “Critical Cure”), an indica-dominant strain that’s said to combine Critical Kush with a ruderalis variety. Because this strain typically contains about 8 percent CBD and 5 percent THC, Critical Cure can annihilate pain, stress, and inflammation with little psychoactive interference. The indica influence in CBD Critical Cure gives rise to deeply relaxing effects delivered alongside a sweet, earthy flavor."
Cbd-Critical-Mass,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Uplifted","Earthy,Pungent,Menthol","CBD Critical Mass by Dinafem Seeds is a breeding collaboration in search of truly medicinal properties. According to Dinafem, this strain came out of a genetic mashup between the in-house Critical Mass and an undisclosed strain from CBD Crew. CBD Critical Mass has a 1:1 CBD/THC ratio and generally more pronounced indica-dominant effects. This genetic cross is known to yield an abundant harvest, but plan on supporting the plant’s vigorous growth before flowering. Dinafem recommends utilizing this strain for anorexia, insomnia, muscle pain, and depression.    "
Cbd-Kush,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Euphoric","Earthy,Woody,Spicy/Herbal","From the collaborative efforts of CBD Crew and Dutch Passion comes CBD Kush, a hybrid strain with equal parts THC and CBD. Bred from Kandy Kush and an unnamed high-CBD variety, CBD Kush typically tests around 7% in both THC and CBD, which may benefit consumers with a low tolerance or those treating conditions such as pain, inflammation, or anxiety. Its psychoactive effects are subtle, offering a tame experience that eases the muscles into relaxation without too much mental cloudiness. "
Cbd-Lilly,sativa,4.5,"Focused,Happy,Sleepy,Energetic,Euphoric",Citrus,"CBD Lilly, also known as “Piña Colada,” is a CBD-dominant strain with happy effects. Averaging a 3-to-1 CBD:THC ratio, CBD Lilly is a potent medicine for consumers seeking therapeutic effects. This sativa-dominant pairing of Congo IBL and Queen Mother imbues consumers with uplifting euphoria that coaxes laughter and conversation. Its buzz settles down into the body as functional and mild relaxation that helps with inflammation and physical discomfort. The smell has been described as spicy and grassy.  "
Cbd-Mango-Haze,sativa,4.4,"Focused,Relaxed,Uplifted,Energetic,Euphoric","Mango,Tropical,Flowery","CBD Mango Haze is a high-CBD strain released by CBD Crew in 2013. This pleasant and aromatic blend combines the tropical flavors of Mango Haze with the added benefits from high levels of cannabidiol. The buds of CBD Mango Haze express themselves with spicy and sweet notes reminiscent of mango, pineapple, and black pepper. Its CBD:THC ratio can range anywhere from 1:1 – 2:1 and the uplifting sativa-dominant effects draw many medical cannabis consumers to CBD Mango Haze."
Cbd-Ox,indica,5,"Aroused,Sleepy,Happy,Euphoric,Hungry","Sweet,Berry,Flowery","CBD OX by Rare Dankness is a 1:1 CBD/THC strain that grows deep green buds with bright orange hairs. This pleasant strain is a 90% indica-dominant cross of Rare Dankesss’s OX male and a CBD-rich cultivar, Shak. CBD OX has a spicy flavor and deep notes of coffee and berry. The breeder recommends utilizing this strain’s calming effects to abate anxiety and diminish physical discomfort. "
Cbd-Rich-Blessing,sativa,0,None,None,"CBD Rich Blessing by Bodhi Seeds is a 2:1 THC/CBD strain steeped in medicinal cannabis genetics. Created by crossing the famous ACDC strain and the father of the Good Medicine Project (Harlequin x Appalachia), this strain is a mixed THC/CBD strain that masterfully balances potency and functionality. CBD Rich Blessing has been known to pop both THC-rich and CBD-dominant phenotypes that emit a pleasant fragrance of woody and floral terpenes. Utilize this strain to improve mood and contend with inflammation. "
Cbd-Shark,indica,4.5,"Relaxed,Tingly,Happy,Sleepy,Euphoric","Pungent,Nutty,Earthy","CBD Shark is an 80/20 indica-dominant cannabis strain that offers an equal ratio of THC and CBD, a cannabinoid combination that helps patients treat an array of symptoms like pain, anxiety, and inflammation without the overly intoxicating effects induced by many high-THC strains. This clear-headed hybrid descends from a Shark Shock indica, but as for its second parent, we can only be sure that it was some high-CBD variety. Its aroma is comprised of sweet notes of fruit accented by subtle hints of garlic and herb."
Chr-Super-Og,indica,4.3,"Relaxed,Giggly,Sleepy,Happy,Talkative","Skunk,Diesel,Sweet","A three-way cross between Skywalker OG, Tahoe OG Kush, and Larry OG, CHR Super OG is an indica strain that produces heavy effects that relax the mind and body. This Los Angeles native carries a pungent sour pine aroma that has come to characterize OG strains, and its heavy sedative effects are a perfect match for those sleepless nights caused by pain or insomnia. "
Cabbage-Patch,hybrid,4.4,"Relaxed,Happy,Uplifted,Giggly,Energetic","Menthol,Grapefruit,Nutty","Cabbage Patch is a sativa-dominant hybrid that combines Cherry Pie and Durban Poison genetics. The resulting buds are sweet, earthy and have hints of fruit flavors. Cabbage Patch delivers uplifting effects that are great for social settings and are known to spark creativity and laughter while relaxing muscle pains. "
Cackleberry,hybrid,0,None,None,"Crackleberry by Greenpoint Seeds is a fuel-driven, fruit-forward hybrid that offers consumers potency in both aroma and effect. It was created by crossing Cherry Diesel (Cherry OG x Turbo Diesel) and Stardawg. This combination compounds the cherry cough syrup, ammonia, and fuel aromas of Cherry Diesel against the deep chemical and fuel aromas of Stardawg. Greenpoint Seeds set out to improve upon the base genetics of this strain, and Cackleberry hits the mark. Its fruity terpenes and powerful euphoric buzz make it a worthwhile addition to any smoke circle. "
Cactus,indica,4.6,"Euphoric,Happy,Uplifted,Relaxed,Hungry","Citrus,Earthy,Pungent","First bred by Jordan of the Islands, Cactus is an indica cross between Afghani and Northern Lights and is named after its vague resemblance to the pear cactus. Cactus buds are conic with knobby formations and emit an organic earthy aroma with citrus notes. This indica is an adept painkiller, providing relief to aches and sore muscles as well as spasms and anxiety. While its indica genetics prepare us for a sleepy, relaxed experience, many describe Cactus as having more uplifting, energizing effects characteristic of sativa strains. Cactus has become a popular staple among the connoisseurs of Seattle, and was among the first place winners in the 2012 High Times Cannabis Cup."
Cactus-Cooler,hybrid,4.5,"Creative,Euphoric,Focused,Happy,Energetic","Citrus,Earthy,Sweet","Cactus Cooler is a sativa-dominant strain that’s said to be a cross between Blue Dream and OG Kush. The sativa in Cactus Cooler lends an upbeat cerebral kick to help you stay focused and productive throughout the day, while the OG boosts the senses with buzzing euphoria. With notes of sharp lemon and sweet wildflowers, Cactus Cooler takes after both parents in its fragrance."
Cadillac-Purple,indica,4.2,"Relaxed,Sleepy,Tingly,Happy,Hungry","Berry,Earthy,Grape","Cadillac Purple is a heavy indica strain that is popular among users seeking true body relaxation and pain relief without the spacey cerebral effects common to more sativa-heavy hybrids. Depending on tolerance, this strain can be a bit of a “creeper,” but when its effects do hit, they tend to be calming, body-soothing, and may lead to some restful sleep. Buds are deep greens with plenty of purple, making for some very pretty flowers. The aroma, too, is pleasant – mild and like a sweet perfume."
Cali-Gold,hybrid,4.5,"Uplifted,Relaxed,Happy,Sleepy,Euphoric","Earthy,Pine,Skunk","This indica-dominant California strain will have you thinking about taking a hike in the woods with its clean, green grass smell that has hints of herbs. The potent smell is actually the first thing many users notice about Cali Gold and the taste pulls in notes of citrus, bringing to mind lemongrass. This strain is a cross between Jah OG Kush and DS Gold. The plants also look impressive, with bulky, crystalline buds. Effects tend to be body relaxing but not completely sedative, so that hike may just be a possibility."
Cali-Jack,hybrid,4.7,"Creative,Happy,Talkative,Uplifted,Euphoric","Diesel,Sweet,Skunk","Cali Jack by Medicanna Seeds is a potent union of polar opposites. Jack Herer, the sativa-dominant king of clear-minded motivation, comes together with Pre-98 Bubba Kush, a classic West Coast indica dynamo with a heavy body and laidback demeanor, to form a strain with powerful and unique properties. Exhibiting stimulating cerebral effects coupled with a body-heavy indica punch, Cali Jack can help relieve migraines, nausea, anxiety, and fibromyalgia symptoms.  "
Cali-Kush,hybrid,4.2,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Earthy,Woody,Sweet","Cali Kush must have been a no-brainer when it came time to name this strain given the popularity of Kush varieties in The Golden State. Its buds are large and dense with few leaves and not many pistils. The flowers will be light green shot through with icy blue and packed with trichomes throughout. Cali Kush buds have a fruity citrus aroma with the darker coffee notes of a kush. Spicier tones and the coffee kushness are more apparent in the taste. The indica-dominant variation of this hybrid has been more popular, but a sativa-dominant version has also been spotted."
California-Grapefruit,indica,4.4,"Euphoric,Relaxed,Tingly,Talkative,Uplifted","Citrus,Grapefruit,Pepper","California Grapefruit by DNA Genetics is an indica strain that draws from a palette of California-grown genetics: Northern Lights, Skunk #1, and Afghani. Loyal to her indica dominance, California Grapefruit promises a heavily relaxing effect that takes a few minutes to fully kick in, even when inhaled. The weight of this indica may just be enough to crush pain, insomnia, and muscle tension in most patients. Its earthy flavor is accented by a sweet, sour grapefruit aroma which lends this strain its name."
California-Hash-Plant,indica,5,"Uplifted,Creative,Energetic,Giggly,Happy",Citrus,"California Hash Plant is a combination of two sister strains from the same Hash Plant mother. Offering a spicy, floral aroma, this endogamic cross weighs heavily on the limbs and mind, dissolving anxiety and encouraging rest. Known for its mold resistance and indoor or outdoor adaptability, California Hash Plant is a solid choice for experienced growers seeking out a potent cannabis variety. Enjoy California Hash Plant near the end of the day as its sedative effects can give lead boots to the consumer’s motivation.  "
California-Orange,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Citrus,Orange,Sweet","California Orange is an old school classic, dating back to at least 1980, and as such, there is a great deal of mystery surrounding its origin. It is generally accepted to be a 50/50 indica/sativa hybrid, is quite easy to grow, and produces a sweet citrus aroma reminiscent of orange zest. Also known as Cali-O, Cali Orange Bud, C.O.B., and available from Dutch Passion as “Californian Orange” in feminized seed form, this hybrid has found its way around the globe and is a favorite with many growers. Most users report that California Orange produces an upbeat, clear-headed high when consumed in moderation, while heavier dosing can lead to a more indica-type body feeling."
California-Sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus",California Sour is an elusive hybrid strain that has given rise to many flavorful cannabis varieties such as Lemon Diesel and Sour Lemon OG. This hybrid balances the genetics of a Mexican sativa and an Afghani indica.
Calyx-Og,hybrid,0,None,None,"Calyx OG (also known as Calyx OG #3) is a balanced 50/50 hybrid from Calyx Garden. This strain was bred by crossing Platinum Calyx with True OG, creating a dense flower with a pungent aroma. The terpene profile of Calyx OG is a mixture of citrus and earthy aromas. It offers up over 1% in limonene, nearly half a percent in pinene and humulene, and almost a full percent of caryophyllene. This harmony of terpenes and upwards of 27% THC make for a potent flower in both effect and aroma. Calyx OG has a 60-day flowering cycle and happens to be one of Calyx Garden’s highest yielding strains.  "
Cambodian,sativa,4.2,"Energetic,Talkative,Happy,Relaxed,Uplifted","Earthy,Tropical,Flowery",Cambodian refers to any strain that grows natively in this region. These indigenous vareities (also called landraces) tend to be sativa in structure and effect due to Cambodia's latitude and climate.
Cambodian-Haze,sativa,4.6,"Euphoric,Happy,Aroused,Creative,Relaxed","Sweet,Citrus,Lemon","Reeferman Seeds created the vibrant Cambodian Haze sativa by crossing a Cambodian landrace strain with Purple Haze. This South East Asian spin on the classic Purple Haze will deliver a strong euphoric experience without exacerbating paranoia. Known to be extremely sticky in texture and sweet in flavor, Cambodian Haze is the perfect sativa for staying productive without being up all night. Flowering in 11 to 12 weeks, this strain is best suited for indoor and greenhouse grows for an experienced grower.   "
Candy-Cane,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Tropical,Pine","Candy Cane is a 70% indica strain from Crop King Seeds that combines AK-47, Mango, and White Widow genetics. Its sour, fruity taste is followed by long-lasting, euphoric effects that combat stress and tension. Candy Cane autoflowers in 7 weeks and produces moderately high yields in both indoor and outdoor gardens."
Candy-Jack,sativa,4.3,"Happy,Energetic,Euphoric,Creative,Focused","Skunk,Citrus,Pungent","Candy Jack is a mostly sativa strain that provides a swift boost to your mood alongside a sweet, citrus aroma. The fragrant smell is inherited from its Skunk #1 parent, while creative and focused effects stem from the Jack Herer side of the family. While its complex terpene profile may impress even the most hardened connoisseur, patients typically appreciate Candy Jack’s ability to counter stress, depression, and appetite loss. With a few Cannabis Cup wins already under its belt, Candy Jack’s potency, flavor, and effects have won this sativa a sterling reputation in the cannabis world. "
Candyland,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Creative","Sweet,Earthy,Flowery","Candyland, a gold medalist of the 2012 KushCon, is a sativa-dominant hybrid bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland to relieve pain, muscle tension, and sour moods. Strong sativa genetics give Candyland uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes."
Canna-Tsu,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Creative","Woody,Earthy,Grapefruit","Canna-Tsu is a hybrid cannabis strain that combines genetics from two CBD-rich parents, Cannatonic and Sour Tsunami. Sweet earthy flavors activate on the exhale, complementing the subtle citrus aroma that radiates from Canna-Tsu’s buds. Because of its high-CBD, low-THC cannabinoid profile, Canna-Tsu delivers its mellow effects with mental clarity. Strains high in CBD like Canna-Tsu are highly demanded by patients treating pain, inflammation, anxiety, and seizures. "
Cannasutra,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Aroused","Earthy,Sweet,Berry","CannaSutra by Delta 9 Labs is a 70/30 indica-dominant cannabis strain parented by Reclining Buddha and Sensi Star. Appropriately derived from the Sanskrit love guide Kama Sutra, this strain is said to sharpen the senses for enhanced romantic encounters. Mellow and functional enough to leave mental acuity intact, CannaSutra is an excellent indica for daytime indulgence. Its flavor is comparable to that of incense, with sweet hashy accents that leave you feeling relaxed and peaceful as you exhale."
Cannadential,hybrid,4.1,"Euphoric,Happy,Relaxed,Uplifted,Energetic","Earthy,Pungent,Diesel","Grows like Cannalope Haze, tastes like LA Confidential. This plant is the perfect mix of indica/sativa. Heavy buds and a fruity smell brought to us by those crazy geneticists from DNA Genetics. Anything crossed into the LA strain results in something special, every time."
Cannalope-Haze,sativa,4.2,"Happy,Relaxed,Energetic,Uplifted,Creative","Sweet,Tropical,Flowery","Like the name suggests, Cannalope Haze is a sweet mix of tropical, melon, and floral flavors. Almost a pure sativa that crosses Haze Brothers Original Haze and a Mexican landrace, this strain is a great solution for fatigue and when struggling with appetite loss. The smooth taste and hefty resin production make it great for producing concentrates."
Cannalope-Kush,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Focused","Sweet,Earthy,Woody","Cannalope Kush from DNA Genetics mixes the powerful effects of OG #18 with the sweet fruity flavors of Cannalope Haze. Though it is sativa-dominant, many enjoy the balancing act of the underlying indica influence. This hybrid delivers a pleasant light smoke with woody undertones alongside an energetic burst of cerebral activity and euphoria."
Cannatonic,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Woody,Sweet","Cannatonic is a unique hybrid strain bred by Spanish seed bank Resin Seeds specifically for its low THC content (rarely above 6%) and high CBD content (6-17%).  A cross between a female MK Ultra and a famous G13 Haze male, it produces a relatively short-lived, mellow high that is also uplifting and powerfully relaxing, thanks to the high CBD content.  As one of the premier medical strains, Cannatonic is often used to treat pain, muscle spasms, anxiety, migraines, and a wide variety of other physiological and psychological symptoms.  Most phenotypes present with a slight earthy odor and a mild, sweet, vaguely citrusy flavor. "
Capers,indica,4.6,"Sleepy,Happy,Hungry,Relaxed,Uplifted","Pungent,Skunk,Earthy","Capers is a mostly indica strain believed to have descended from the Burmese Kush genetic line. Pain and insomnia are crushed under the weight of this indica's relaxing effects, making this powerhouse indica a perfect choice for late night consumption. Its THC content typically falls around 15% with other cannabinoids occuring in trace amounts."
Capleton,hybrid,4,"Sleepy,Tingly,Euphoric,Giggly,Happy","Flowery,Lavender,Rose","Capleton by Irie Genetics is an extremely resinous strain. Created by crossing White Widow and Grateful Dawg, Capleton reeks of chemicals and fuel with intermittent notes of earth and sweetness. The plants grow tall and take 60 to 70 days to flower, depending on the phenotype. Capleton consistently tests at 23% THC and offers consumers long-lasting physical effects.    "
Captain-America-Og,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Creative,Happy","Diesel,Berry,Orange","Captain America OG is a sativa-leaning OG cut with uplifting euphoria and a bright citrus flavor. Relieving anxiety without the debilitating weight of heavier OG crosses, call on “The Captain” for relief of stress as well as nausea, mild physical pain, and muscle spasms. This strain’s moderate body effects and complementary euphoria make it ideal for use any time of the day with mindful dosage.  "
Captains-Cake,hybrid,4.7,"Euphoric,Relaxed,Energetic,Happy,Focused","Earthy,Citrus,Sweet","Captain’s Cake by The Captain’s Connection is a hybrid cross between Girl Scout Cookies and White Fire Alien OG. With bright citrus terpenes on the nose and palate, and a sweet doughy earth aroma, Captain’s Cake is a crowd-pleaser with enjoyable relaxing effects. This strain is euphoric and easy on the limbs in small doses, but can get rather sedating with heavy consumption. Enjoy the laid-back energy of Captain’s Cake into the evening to set you up for a good night’s rest.  "
Caramel-Candy-Kush,hybrid,4.6,"Relaxed,Happy,Focused,Creative,Talkative","Vanilla,Coffee,Sweet","Caramel Candy Kush is an indica-dominant hybrid of Pre-98 Bubba Kush and Ms. Universe bred by Dynasty Seeds. There are two distinct phenotypes, one that is Bubba-dominant and the other that is led by Ms. Universe genetics. Caramel Candy Kush expresses itself with flavors of sugary caramel, fruity notes of cherry and grape, and a creamy coffee finish that offers an immediate rush of heady effects and provide calming relief from chronic pain. The complex terpene profile and excellent resin production make this a great choice for producing hash and other concentrates."
Caramel-Kona-Coffee-Cookies,hybrid,0,None,None,"Caramel Kona Coffee Cookies by Pua Mana 1st Hawaiian Pakalolo Seed Bank is an immensely heavy indica-leaning hybrid. As the name suggests, this flower reeks of burnt sugar, doughy earth, and tropical flora. The flavor is as sweet and caramel as the aroma, but with spicy notes of hash on the finish. Caramel Kona Coffee Cookies was created by crossing Pua Mana’s Caramel Kona Coffee Kush and Herban Tribe’s GSC Forum Cut. This Kush-heavy combination hits the body like an avalanche, leveling stress and worry to the ground. As this intense physical sensation dissipates, it is replaced by mental and physical elation that elevates the mood, making it ideal for social gatherings or dark winter nights.  "
Caramel-Kona-Coffee-Kush,indica,4.5,"Relaxed,Uplifted,Tingly,Hungry,Happy","Coffee,Vanilla,Woody","Caramel Kona Coffee Kush is a flavorful, alliterative cross by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. This sweet wahine is luscious on the palate and heavy on the body, draping the limbs in cushy, weighted relaxation. CKC Kush’s Caramel Kush mother gives this strain its predominant flavor and physical effects, but the strain’s Kona Gold father shines through in latent spicy undertones and heady mental buzz. Noted as one of the most delicious strains in the Pua Mana archives, Caramel Kona Coffee Kush is a perfect strain to shrug off stress and treat yourself at the end of the day.  "
Caramelicious,hybrid,4.2,"Focused,Happy,Relaxed,Euphoric,Creative","Vanilla,Sweet,Coffee","Caramelicious is a hybrid cannabis variety that has sticky buds and a caramel flavor.  A favorite after dinner smoke for some, provides a sweet taste and happy high."
Caramella,indica,4.8,"Aroused,Euphoric,Relaxed","Menthol,Spicy/Herbal,Sweet","Caramella is an 80/20 indica-dominant strain recommended for late nights out with friends as it provides an uplifting and social high. This robust strain produces long colas, deep green leaves, and sticky resin scattered around the plant like fairy dust. This easy-to-grow indica finishes flowering in about 8 to 9 weeks."
Caramelo,sativa,4.1,"Energetic,Happy,Uplifted,Relaxed,Talkative","Sweet,Coffee,Vanilla","The breeders at Delicious Seeds continue to live up to their name with this flavorful 70/30 sativa-dominant hybrid they call Caramelo. Caramelo is derived from the Lavender family, inheriting that signature floral aroma with accents of sweet and spicy fruit. Though made famous by its complex terpene profile, consumers also appreciate Caramelo for its lightweight uplifting effects that promote energy alongside potent symptom relief."
Carl-Sagan,hybrid,4.4,"Happy,Relaxed,Uplifted,Focused,Aroused","Sweet,Earthy,Pine","Sorry to disappoint, but this Carl Sagan won’t send you into the cosmos. Rather, this Sagan is an easy, relaxing cross between Pre-98 Bubba Kush and Bogs Blue Moon Rocks. Named for the late Carl Sagan, Professor of Astronomy and Space Sciences at Cornell University, this strain pays homage to a great astronomer, intellectual, and cannabis activist. Though this hybrid is sativa-dominant, it provides consumers with a very well-balanced buzz. Sagan is great for anyone looking for a strain that’s strong but not overwhelming. This strain also features a tropical aroma, with lingering tastes of guava and passion fruit. "
